split,baseline_f1,thresholded_f1,best_strategy,best_strategy_f1,gain_recovered
within,0.7134062793611025,0.7158535165346995,TEA,0.7355108806269386,0.11071166333949714
short,0.6705286138857774,0.6606491778452204,PretrainedTEA,0.6936839857098478,-0.42665849270825607
long,0.6882870005558712,0.6849838178280468,PretrainedTEA,0.7169065887224455,-0.1154168504661525
