split,baseline_f1,oracle_thresholded_f1,best_strategy,best_strategy_f1,gain_recovered
within,0.6967625333961968,0.7048229015041242,RecencyWeight,0.728377767076712,0.2549520332312177
short,0.6705286138857774,0.6544496487119438,MLMPretrain,0.6936527585621011,-0.6953323203472526
long,0.6882870005558712,0.6858852275748053,TEA,0.7125630685913544,-0.09893583168227071
