split,baseline_f1,optimal_threshold,insample_thresholded_f1,best_strategy,best_strategy_f1,gain_recovered
within,0.7134062793611025,0.32,0.7245840855706327,PretrainedTEA,0.7406600917879114,0.410137342786395
short,0.6705286138857774,0.5700000000000003,0.6819762198522619,MLMPretrain,0.6936527585621011,0.49504991975791474
long,0.6882870005558712,0.37000000000000005,0.6927279232947826,PretrainedTEA,0.7191182559980513,0.14403963365162809
