Metric,within,short,long
OOV rate (%),3.4726554377209404,4.386775684322787,5.19660969848548
New types (%),14.14473684210526,16.4968152866242,19.27207637231503
Per-word semantic shift (mean),,0.032766517159974,0.0454805106756526
Share above noise floor (%),,1.31362889983579,3.11986863711001
